week,n,osat,accuracy,food,mgr_visit,readiness,speed,friendliness
6/7,108,69.4,88.9,75.0,63.5,73.9,75.0,82.2
6/14,114,73.7,93.0,81.2,50.0,82.6,77.9,87.0
6/21,114,74.6,96.5,78.8,66.7,75.0,83.1,84.1
6/28,133,76.7,94.7,81.8,58.1,81.8,79.6,86.0
7/5,125,75.2,90.4,79.7,54.9,81.5,76.0,78.0
7/12,137,75.2,96.4,77.2,65.2,84.0,82.7,88.9
7/19,125,76.8,92.0,84.3,50.0,93.3,74.2,87.0
7/26,112,72.3,86.6,75.7,67.6,81.0,79.1,86.9
8/2,134,69.4,91.0,72.7,71.9,91.7,72.9,83.1
8/9,118,72.0,94.9,75.4,56.0,52.4,75.0,84.5
8/16,131,75.6,96.2,77.1,55.9,76.2,76.1,85.3
8/23,161,72.7,89.4,77.2,48.4,74.4,74.4,78.8
8/30,88,83.0,96.6,86.2,63.3,85.7,89.3,88.1
